movie, date, T rating, M rating, D rating, picked by
"Back to the Future", 2020-05-22, 3, 5, 5, D 
"Back to the Future II", 2020-05-23, 5, 2, 3, D 
"Back to the Future III", 2020-05-29, 5, 4, 5, D 
"Grown Ups", 2020-06-06, 10, 3, 4, D 
"Solo", 2020-06-13, 4, 3, 4, D 
"Casper", 2020-06-14, 3, 2, 3, M 
"Grown Ups II", 2020-06-20, 10, 4, 3, D 
"Raiders of the Lost Ark", 2020-06-21, 4, 4, 4, D 
"Babe", 2020-06-22, 4, 4, 5, T 
"Cats and Dogs", 2020-06-27, 5, 3, 3, T 
"My Spy", 2020-06-28, 10, 4, 3, T 
"Hot Rod", 2020-07-03, 5, 3, 2, D 
"Airplane", 2020-07-04, 4, 3, 3, M 
"Euro Vision", 2020-07-05, 4, 4, 4, D 
"Nut Job", 2020-07-06, 10, 2, 2, T 
"Space Balls", 2020-07-07, 10, 3, 3, D 
"Feal the Beat", 2020-07-10, 10, 3, 3, D 
"I now pronounce you Chuck and Larry", 2020-07-11, 4, 3, 3, M 
"Madagascar II", 2020-07-12, 4, 3, 3, T 
"The Main Event", 2020-07-18, 10, 3, 3, B
"Big Daddy", 2020-07-19, 4, 4, 3, B
"Animal Crackers", 2020-07-25, 5, 3, 3, D 
"Naked Gun", 2020-07-26, 4, 3, 3, M 
"Kangaroo Jack", 2020-08-01, 5, 3, 2, D 
"The Sandlot", 2020-08-08, 10, 5, 5, D 
"Jurasic Park", 2020-08-14, 1, 3, 3, M 
"The Adams Family", 2020-08-15, 4, 3, 4, T 
"Denis the Menace", 2020-08-16, 2, 2, 2, D 
"Lemony Snicket's", 2020-08-21, 5, 3, 4, M 
"Mr. Deeds", 2020-08-25, 4, 3, 3, D 
"The Sleepover", 2020-08-29, 4, 3, 3, T 
"Indian Jones and the Last Crusade", 2020-08-30, 3, 3, 3, D 
"Uncle Buck", 2020-09-04, 4, 3, 4, M 
"Jack and Jill", 2020-09-05, 4, 3, 3, T 
"Instant Family", 2020-09-06, 3, 3, 4, D 
"Tomorrow Never Dies", 2020-09-11, 2, 2, 2, M 
"Indiana Jones and the Kingdom of the Cyrstal Skull", 2020-09-19, 2, 2, 2, D 
"Shorts", 2020-09-26, 5, 4, 3, D 
"Monty Python Holy Grail", 2020-09-27, 1, 4, 4, M 
"Superman 1978", 2020-10-03, 3, 3, 3, T 
"Enola Holms", 2020-10-11, 4, 4, 4, M 
"Miss Congeniality", 2020-10-12, 3, 3, 3, D 
"Superman II", 2020-10-17, 3, 3, 3, T 
"My Dog Skip", 2020-10-18, 3, 4, 3, M 
"Over the Moon", 2020-10-24, 4, 4, 3, D 
"Anchorman", 2020-10-25, 3, 3, 3, T 
"The Adams Family II", 2020-10-31, 3, 3, 3, T 
"Witches", 2020-11-01, 2, 2, 2, M 
"Pets United", 2020-11-07, 2, 2, 2, D 
"Christmas Break-in", 2020-11-08, 5, 2, 2, T 
"Tooth Fairy", 2020-11-14, 4, 3, 3, D 
"Smurfs 2", 2020-11-15, 3, 2, 2, T
"Princess Switch 2", 2020-11-21, 3, 2, 3, D
"A Boy Named Charle Brown", 2020-11-22, 3, 4, 4, T
"Bewitched", 2020-11-25, 3, 3, 2, M
"Planes, Trains, and Automobiles", 2020-11-26, 3, 3, 4, D
"Christmas Chronicles 2", 2020-11-27, 4, 3, 3, T
"Jingle Jangle", 2020-11-28, 4, 3, 2, T
"Empire Strikes Back", 2020-12-05, 4, 4, 5, M
"Return of the Jedi", 2020-12-12, 5, 5, 5, D
"Rise of Skywalker", 2020-12-13, 5, 5, 4, T
"Phantom Menace", 2020-12-19, 3, 3, 3, M
